recommendation_id,rule_id,clothing_type,colour,condition,damage_location,damage_severity,stain_severity,hole_severity,repair_status,style,material,recommended_action,upcycling_method,difficulty,reason,required_materials,estimated_time_minutes,recommendation_priority,rule_basis
REC000016,N04,Saree,Black,Excellent,None,None,None,None,No Repair,Casual,Cotton,Create a smaller accessory from the existing fabric,Accessory conversion,Medium,Large textile pieces can be redesigned into smaller useful accessories.,"Scissors, measuring tape and finishing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC000017,N05,Dress,Black,Excellent,None,None,None,None,No Repair,Casual,Cotton,Redesign the silhouette through length alteration,Silhouette redesign,Medium,A usable garment can receive a new silhouette instead of being discarded.,"Scissors, measuring tape and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC000018,O01,Jacket,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Casual,Polyester,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can create a wearable vest from the main body.,"Scissors, thread and sewing machine",90,1,Rule-based circular fashion/upcycling transformation
REC000019,O02,Jacket,Black,Worn,Pocket,Minor,None,None,Needs Repair,Casual,Polyester,Add a decorative patch or pocket redesign,Patch or pocket redesign,Medium,A localized damaged area can be reinforced while adding a functional feature.,"Patch fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC000020,O03,Jacket,Black,Damaged,Multiple Areas,Major,None,None,Needs Repair,Casual,Polyester,Recover usable panels for accessories,Material recovery,Medium,Intact outerwear panels can be reused when the full garment is no longer practical.,"Scissors, measuring tape and sewing supplies",150,1,Rule-based circular fashion/upcycling transformation
REC000021,P01,Trousers,Black,Worn,Bottom,Minor,None,None,Needs Repair,Casual,Cotton,Convert into shorts,Shortening,Easy,Damaged lower sections can be removed to preserve the upper garment.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC000022,P02,Trousers,Black,Worn,Knee,Minor,None,None,Needs Repair,Casual,Cotton,Repair and reinforce with a patch,Visible mending,Easy,Localized damage can be reinforced instead of discarding the garment.,"Fabric patch, thread, needle or sewing machine",40,1,Rule-based circular fashion/upcycling transformation
REC000023,R01,Jumpsuit,Black,Worn,Bottom,Minor,None,None,Needs Repair,Casual,Cotton,Convert into a shorter romper or playsuit,Length alteration,Medium,Removing damaged lower sections can preserve the upper garment structure.,"Scissors, measuring tape and sewing tools",90,1,Rule-based circular fashion/upcycling transformation
REC000024,R02,Jumpsuit,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Casual,Cotton,Redesign into a sleeveless style,Sleeve removal,Medium,Damaged sleeves can be removed while preserving the main garment.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC000025,S01,Shirt,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Casual,Cotton,Convert into a sleeveless top,Sleeve removal,Medium,Removing damaged sleeves can retain the main body of the garment.,"Scissors, thread, needle or sewing machine",60,1,Rule-based circular fashion/upcycling transformation
REC000026,S02,Shirt,Black,Worn,Collar,Minor,None,None,Needs Repair,Casual,Cotton,Replace or redesign the collar,Collar redesign,Medium,A damaged collar can be replaced or converted into a new neckline.,"Replacement fabric, interfacing, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC000027,S03,Shirt,Black,Worn,Front,Minor,None,None,Needs Repair,Casual,Cotton,Add a decorative fabric panel or appliqué,Panel insertion,Medium,A localized damaged area can be reinforced and visually redesigned.,"Fabric panel, thread, needle or sewing machine",60,2,Rule-based circular fashion/upcycling transformation
REC000028,S04,Shirt,Black,Damaged,Multiple Areas,Major,None,None,Needs Repair,Casual,Cotton,Recover intact fabric sections for smaller products,Material recovery,Medium,Heavily damaged garments can still provide usable fabric pieces.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC000029,SA01,Saree,Black,Worn,Edge,Minor,None,None,Needs Repair,Casual,Cotton,Trim the damaged edge and create a smaller accessory,Edge recovery,Medium,A damaged edge can be removed while preserving a large amount of usable fabric.,"Scissors, measuring tape and finishing thread",60,1,Rule-based circular fashion/upcycling transformation
REC000030,SA02,Saree,Black,Damaged,Multiple Areas,Major,None,None,Needs Repair,Casual,Cotton,Recover intact fabric for accessories or patchwork,Fabric recovery,Medium,Intact sections can be separated and reused when the original item is heavily damaged.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC000031,SH01,Shorts,Black,Worn,Hem,Minor,None,None,Needs Repair,Casual,Denim,Refinish or redesign the hem,Hem redesign,Easy,The damaged edge can be reconstructed without replacing the whole garment.,"Scissors, thread and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC000032,SK01,Skirt,Black,Worn,Bottom,Minor,None,None,Needs Repair,Casual,Cotton,Shorten and refinish the skirt,Length alteration,Easy,Damaged lower fabric can be removed and the hem reconstructed.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC000033,SK02,Skirt,Black,Worn,Waist,Minor,None,None,Needs Repair,Casual,Cotton,Replace or reinforce the waistband,Waistband repair,Medium,A damaged waistband can be repaired without replacing the entire garment.,"Elastic or waistband fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC000034,T01,T-shirt,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Casual,Cotton,Redesign into a sleeveless top,Sleeve removal,Easy,Removing a damaged sleeve can preserve the main body of the garment.,"Scissors, measuring tape, needle and thread",40,1,Rule-based circular fashion/upcycling transformation
REC000035,T02,T-shirt,Black,Worn,Bottom,Minor,None,None,Needs Repair,Casual,Cotton,Crop and finish the lower edge,Cropping,Easy,A damaged lower edge can be removed and the garment shortened.,"Scissors, measuring tape, needle and thread",30,1,Rule-based circular fashion/upcycling transformation
REC000036,T03,T-shirt,Black,Worn,Front,Minor,None,None,Needs Repair,Casual,Cotton,Cover the damaged area with an appliqué or patch,Appliqué,Easy,A localized damaged area can be covered while adding a decorative element.,"Fabric patch, fabric adhesive or thread",30,1,Rule-based circular fashion/upcycling transformation
REC000037,T04,T-shirt,Black,Damaged,Multiple Areas,Major,None,None,Needs Repair,Casual,Cotton,Recover usable fabric for small accessories,Fabric recovery,Medium,"When the shirt is heavily damaged, intact fabric can still be reused.","Scissors, thread and sewing supplies",90,1,Rule-based circular fashion/upcycling transformation
REC000038,D01,Dress,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Casual,Cotton,Shorten the dress and refinish the hem,Length alteration,Easy,A damaged lower edge can be removed while retaining the upper garment.,"Scissors, measuring tape and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC000039,D02,Dress,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Casual,Cotton,Redesign into a sleeveless dress,Sleeve removal,Medium,Removing damaged sleeves can preserve the dress body.,"Scissors, thread, needle or sewing machine",75,1,Rule-based circular fashion/upcycling transformation
REC000040,D03,Dress,Black,Damaged,Multiple Areas,Major,None,None,Previously Repaired,Casual,Cotton,Recover usable fabric for a skirt or accessories,Fabric recovery,Medium,Intact sections can be separated from damaged areas and reused.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC000041,J01,Jeans,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Casual,Denim,Convert into denim shorts,Shortening,Easy,The lower portion can be removed while preserving usable denim.,"Scissors, measuring tape, sewing machine or needle and thread",45,1,Rule-based circular fashion/upcycling transformation
REC000042,J02,Jeans,Black,Worn,Knee,Minor,None,None,Previously Repaired,Casual,Denim,Apply visible patches,Visible mending,Easy,Localized minor damage can be strengthened and redesigned with a patch.,"Denim patch, thread, needle or sewing machine",30,1,Rule-based circular fashion/upcycling transformation
REC000043,J03,Jeans,Black,Worn,Pocket,Minor,None,None,Previously Repaired,Casual,Denim,Reuse usable denim sections for an accessory,Material reuse,Medium,Undamaged denim sections can be recovered for smaller products.,"Scissors, thread, needle or sewing machine",90,2,Rule-based circular fashion/upcycling transformation
REC000044,J04,Jeans,Black,Damaged,Multiple Areas,Major,None,None,Previously Repaired,Casual,Denim,Create denim patchwork,Patchwork,Medium,Multiple damaged areas make patchwork more practical than a full garment redesign.,"Scissors, denim scraps, thread and sewing machine",180,1,Rule-based circular fashion/upcycling transformation
REC000045,K01,Hoodie,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Casual,Cotton,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can preserve the central body and create a vest.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC000046,K02,Hoodie,Black,Worn,Front,Minor,None,None,Previously Repaired,Casual,Cotton,Add a fabric patch or decorative panel,Patchwork,Easy,A patch can reinforce localized damage and extend garment life.,"Fabric patch, thread or fabric adhesive",35,1,Rule-based circular fashion/upcycling transformation
REC000047,K03,Hoodie,Black,Damaged,Multiple Areas,Major,None,None,Previously Repaired,Casual,Cotton,Recover intact fabric for accessories,Fabric recovery,Medium,Usable sections can be separated from heavily damaged areas.,"Scissors, thread and sewing supplies",100,1,Rule-based circular fashion/upcycling transformation
REC000048,L01,Leggings,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Casual,Polyester,Convert into shorter leggings,Length alteration,Easy,Damaged lower sections can be removed while retaining usable fabric.,"Scissors, measuring tape and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC000049,L02,Leggings,Black,Damaged,Multiple Areas,Major,None,None,Previously Repaired,Casual,Polyester,Recover fabric for small textile accessories,Material recovery,Medium,Intact sections may still be useful for smaller textile products.,Scissors and sewing supplies,75,1,Rule-based circular fashion/upcycling transformation
REC000050,N01,T-shirt,Black,Good,None,None,None,None,No Repair,Casual,Cotton,Convert into a reusable fabric tote,Tote conversion,Easy,A usable knit top can be repurposed into a simple reusable bag.,"Scissors, thread and sewing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC000051,N02,Shirt,Black,Good,None,None,None,None,No Repair,Casual,Cotton,Convert into a reusable fabric tote,Tote conversion,Easy,A button-up garment can be repurposed while retaining useful fabric.,"Scissors, thread and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC000052,N03,Jeans,Black,Good,None,None,None,None,No Repair,Casual,Denim,Create a small denim accessory from unused fabric sections,Denim reuse,Medium,Denim provides durable fabric suitable for smaller accessories.,"Scissors, denim fabric, thread and sewing tools",90,2,Rule-based circular fashion/upcycling transformation
REC000053,N04,Saree,Black,Good,None,None,None,None,No Repair,Casual,Cotton,Create a smaller accessory from the existing fabric,Accessory conversion,Medium,Large textile pieces can be redesigned into smaller useful accessories.,"Scissors, measuring tape and finishing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC000054,N05,Dress,Black,Good,None,None,None,None,No Repair,Casual,Cotton,Redesign the silhouette through length alteration,Silhouette redesign,Medium,A usable garment can receive a new silhouette instead of being discarded.,"Scissors, measuring tape and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC000055,O01,Jacket,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Casual,Polyester,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can create a wearable vest from the main body.,"Scissors, thread and sewing machine",90,1,Rule-based circular fashion/upcycling transformation
REC000056,O02,Jacket,Black,Worn,Pocket,Minor,None,None,Previously Repaired,Casual,Polyester,Add a decorative patch or pocket redesign,Patch or pocket redesign,Medium,A localized damaged area can be reinforced while adding a functional feature.,"Patch fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC000057,O03,Jacket,Black,Damaged,Multiple Areas,Major,None,None,Previously Repaired,Casual,Polyester,Recover usable panels for accessories,Material recovery,Medium,Intact outerwear panels can be reused when the full garment is no longer practical.,"Scissors, measuring tape and sewing supplies",150,1,Rule-based circular fashion/upcycling transformation
REC000058,P01,Trousers,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Casual,Cotton,Convert into shorts,Shortening,Easy,Damaged lower sections can be removed to preserve the upper garment.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC000059,P02,Trousers,Black,Worn,Knee,Minor,None,None,Previously Repaired,Casual,Cotton,Repair and reinforce with a patch,Visible mending,Easy,Localized damage can be reinforced instead of discarding the garment.,"Fabric patch, thread, needle or sewing machine",40,1,Rule-based circular fashion/upcycling transformation
REC000060,R01,Jumpsuit,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Casual,Cotton,Convert into a shorter romper or playsuit,Length alteration,Medium,Removing damaged lower sections can preserve the upper garment structure.,"Scissors, measuring tape and sewing tools",90,1,Rule-based circular fashion/upcycling transformation
REC000061,R02,Jumpsuit,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Casual,Cotton,Redesign into a sleeveless style,Sleeve removal,Medium,Damaged sleeves can be removed while preserving the main garment.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC000062,S01,Shirt,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Casual,Cotton,Convert into a sleeveless top,Sleeve removal,Medium,Removing damaged sleeves can retain the main body of the garment.,"Scissors, thread, needle or sewing machine",60,1,Rule-based circular fashion/upcycling transformation
REC000063,S02,Shirt,Black,Worn,Collar,Minor,None,None,Previously Repaired,Casual,Cotton,Replace or redesign the collar,Collar redesign,Medium,A damaged collar can be replaced or converted into a new neckline.,"Replacement fabric, interfacing, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC000064,S03,Shirt,Black,Worn,Front,Minor,None,None,Previously Repaired,Casual,Cotton,Add a decorative fabric panel or appliqué,Panel insertion,Medium,A localized damaged area can be reinforced and visually redesigned.,"Fabric panel, thread, needle or sewing machine",60,2,Rule-based circular fashion/upcycling transformation
REC000065,S04,Shirt,Black,Damaged,Multiple Areas,Major,None,None,Previously Repaired,Casual,Cotton,Recover intact fabric sections for smaller products,Material recovery,Medium,Heavily damaged garments can still provide usable fabric pieces.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC000066,SA01,Saree,Black,Worn,Edge,Minor,None,None,Previously Repaired,Casual,Cotton,Trim the damaged edge and create a smaller accessory,Edge recovery,Medium,A damaged edge can be removed while preserving a large amount of usable fabric.,"Scissors, measuring tape and finishing thread",60,1,Rule-based circular fashion/upcycling transformation
REC000067,SA02,Saree,Black,Damaged,Multiple Areas,Major,None,None,Previously Repaired,Casual,Cotton,Recover intact fabric for accessories or patchwork,Fabric recovery,Medium,Intact sections can be separated and reused when the original item is heavily damaged.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC000068,SH01,Shorts,Black,Worn,Hem,Minor,None,None,Previously Repaired,Casual,Denim,Refinish or redesign the hem,Hem redesign,Easy,The damaged edge can be reconstructed without replacing the whole garment.,"Scissors, thread and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC000069,SK01,Skirt,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Casual,Cotton,Shorten and refinish the skirt,Length alteration,Easy,Damaged lower fabric can be removed and the hem reconstructed.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC000070,SK02,Skirt,Black,Worn,Waist,Minor,None,None,Previously Repaired,Casual,Cotton,Replace or reinforce the waistband,Waistband repair,Medium,A damaged waistband can be repaired without replacing the entire garment.,"Elastic or waistband fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC000071,T01,T-shirt,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Casual,Cotton,Redesign into a sleeveless top,Sleeve removal,Easy,Removing a damaged sleeve can preserve the main body of the garment.,"Scissors, measuring tape, needle and thread",40,1,Rule-based circular fashion/upcycling transformation
REC000072,T02,T-shirt,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Casual,Cotton,Crop and finish the lower edge,Cropping,Easy,A damaged lower edge can be removed and the garment shortened.,"Scissors, measuring tape, needle and thread",30,1,Rule-based circular fashion/upcycling transformation
REC000073,T03,T-shirt,Black,Worn,Front,Minor,None,None,Previously Repaired,Casual,Cotton,Cover the damaged area with an appliqué or patch,Appliqué,Easy,A localized damaged area can be covered while adding a decorative element.,"Fabric patch, fabric adhesive or thread",30,1,Rule-based circular fashion/upcycling transformation
REC000074,T04,T-shirt,Black,Damaged,Multiple Areas,Major,None,None,Previously Repaired,Casual,Cotton,Recover usable fabric for small accessories,Fabric recovery,Medium,"When the shirt is heavily damaged, intact fabric can still be reused.","Scissors, thread and sewing supplies",90,1,Rule-based circular fashion/upcycling transformation
REC000075,D01,Dress,Black,Worn,Bottom,Minor,None,Minor,Needs Repair,Casual,Cotton,Shorten the dress and refinish the hem,Length alteration,Easy,A damaged lower edge can be removed while retaining the upper garment.,"Scissors, measuring tape and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC000076,D02,Dress,Black,Worn,Sleeve,Minor,None,Minor,Needs Repair,Casual,Cotton,Redesign into a sleeveless dress,Sleeve removal,Medium,Removing damaged sleeves can preserve the dress body.,"Scissors, thread, needle or sewing machine",75,1,Rule-based circular fashion/upcycling transformation
REC000077,D03,Dress,Black,Damaged,Multiple Areas,Major,None,Minor,Needs Repair,Casual,Cotton,Recover usable fabric for a skirt or accessories,Fabric recovery,Medium,Intact sections can be separated from damaged areas and reused.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC000078,J01,Jeans,Black,Worn,Bottom,Minor,None,Minor,Needs Repair,Casual,Denim,Convert into denim shorts,Shortening,Easy,The lower portion can be removed while preserving usable denim.,"Scissors, measuring tape, sewing machine or needle and thread",45,1,Rule-based circular fashion/upcycling transformation
REC000079,J02,Jeans,Black,Worn,Knee,Minor,None,Minor,Needs Repair,Casual,Denim,Apply visible patches,Visible mending,Easy,Localized minor damage can be strengthened and redesigned with a patch.,"Denim patch, thread, needle or sewing machine",30,1,Rule-based circular fashion/upcycling transformation
REC000080,J03,Jeans,Black,Worn,Pocket,Minor,None,Minor,Needs Repair,Casual,Denim,Reuse usable denim sections for an accessory,Material reuse,Medium,Undamaged denim sections can be recovered for smaller products.,"Scissors, thread, needle or sewing machine",90,2,Rule-based circular fashion/upcycling transformation
REC000081,J04,Jeans,Black,Damaged,Multiple Areas,Major,None,Minor,Needs Repair,Casual,Denim,Create denim patchwork,Patchwork,Medium,Multiple damaged areas make patchwork more practical than a full garment redesign.,"Scissors, denim scraps, thread and sewing machine",180,1,Rule-based circular fashion/upcycling transformation
REC000082,K01,Hoodie,Black,Worn,Sleeve,Minor,None,Minor,Needs Repair,Casual,Cotton,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can preserve the central body and create a vest.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC000083,K02,Hoodie,Black,Worn,Front,Minor,None,Minor,Needs Repair,Casual,Cotton,Add a fabric patch or decorative panel,Patchwork,Easy,A patch can reinforce localized damage and extend garment life.,"Fabric patch, thread or fabric adhesive",35,1,Rule-based circular fashion/upcycling transformation
REC000084,K03,Hoodie,Black,Damaged,Multiple Areas,Major,None,Minor,Needs Repair,Casual,Cotton,Recover intact fabric for accessories,Fabric recovery,Medium,Usable sections can be separated from heavily damaged areas.,"Scissors, thread and sewing supplies",100,1,Rule-based circular fashion/upcycling transformation
REC000085,L01,Leggings,Black,Worn,Bottom,Minor,None,Minor,Needs Repair,Casual,Polyester,Convert into shorter leggings,Length alteration,Easy,Damaged lower sections can be removed while retaining usable fabric.,"Scissors, measuring tape and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC000086,L02,Leggings,Black,Damaged,Multiple Areas,Major,None,Minor,Needs Repair,Casual,Polyester,Recover fabric for small textile accessories,Material recovery,Medium,Intact sections may still be useful for smaller textile products.,Scissors and sewing supplies,75,1,Rule-based circular fashion/upcycling transformation
REC000087,N01,T-shirt,Black,Worn,None,None,None,None,Previously Repaired,Casual,Cotton,Convert into a reusable fabric tote,Tote conversion,Easy,A usable knit top can be repurposed into a simple reusable bag.,"Scissors, thread and sewing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC000088,N02,Shirt,Black,Worn,None,None,None,None,Previously Repaired,Casual,Cotton,Convert into a reusable fabric tote,Tote conversion,Easy,A button-up garment can be repurposed while retaining useful fabric.,"Scissors, thread and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC000089,N03,Jeans,Black,Worn,None,None,None,None,Previously Repaired,Casual,Denim,Create a small denim accessory from unused fabric sections,Denim reuse,Medium,Denim provides durable fabric suitable for smaller accessories.,"Scissors, denim fabric, thread and sewing tools",90,2,Rule-based circular fashion/upcycling transformation
REC000090,N04,Saree,Black,Worn,None,None,None,None,Previously Repaired,Casual,Cotton,Create a smaller accessory from the existing fabric,Accessory conversion,Medium,Large textile pieces can be redesigned into smaller useful accessories.,"Scissors, measuring tape and finishing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC000091,N05,Dress,Black,Worn,None,None,None,None,Previously Repaired,Casual,Cotton,Redesign the silhouette through length alteration,Silhouette redesign,Medium,A usable garment can receive a new silhouette instead of being discarded.,"Scissors, measuring tape and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC000092,O01,Jacket,Black,Worn,Sleeve,Minor,None,Minor,Needs Repair,Casual,Polyester,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can create a wearable vest from the main body.,"Scissors, thread and sewing machine",90,1,Rule-based circular fashion/upcycling transformation
REC000093,O02,Jacket,Black,Worn,Pocket,Minor,None,Minor,Needs Repair,Casual,Polyester,Add a decorative patch or pocket redesign,Patch or pocket redesign,Medium,A localized damaged area can be reinforced while adding a functional feature.,"Patch fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC000094,O03,Jacket,Black,Damaged,Multiple Areas,Major,None,Minor,Needs Repair,Casual,Polyester,Recover usable panels for accessories,Material recovery,Medium,Intact outerwear panels can be reused when the full garment is no longer practical.,"Scissors, measuring tape and sewing supplies",150,1,Rule-based circular fashion/upcycling transformation
REC000095,P01,Trousers,Black,Worn,Bottom,Minor,None,Minor,Needs Repair,Casual,Cotton,Convert into shorts,Shortening,Easy,Damaged lower sections can be removed to preserve the upper garment.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC000096,P02,Trousers,Black,Worn,Knee,Minor,None,Minor,Needs Repair,Casual,Cotton,Repair and reinforce with a patch,Visible mending,Easy,Localized damage can be reinforced instead of discarding the garment.,"Fabric patch, thread, needle or sewing machine",40,1,Rule-based circular fashion/upcycling transformation
REC000097,R01,Jumpsuit,Black,Worn,Bottom,Minor,None,Minor,Needs Repair,Casual,Cotton,Convert into a shorter romper or playsuit,Length alteration,Medium,Removing damaged lower sections can preserve the upper garment structure.,"Scissors, measuring tape and sewing tools",90,1,Rule-based circular fashion/upcycling transformation
REC000098,R02,Jumpsuit,Black,Worn,Sleeve,Minor,None,Minor,Needs Repair,Casual,Cotton,Redesign into a sleeveless style,Sleeve removal,Medium,Damaged sleeves can be removed while preserving the main garment.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC000099,S01,Shirt,Black,Worn,Sleeve,Minor,None,Minor,Needs Repair,Casual,Cotton,Convert into a sleeveless top,Sleeve removal,Medium,Removing damaged sleeves can retain the main body of the garment.,"Scissors, thread, needle or sewing machine",60,1,Rule-based circular fashion/upcycling transformation
