brand,usage,condition,type,category,price,trend,colors,cut,pattern,season,text,pilling,damage,stains,holes,smell,material
Not Applicable,Export,3,Top,Ladies,<50,No trend,['White'],[],Unknown,Unknown,Unknown,4,None,Yes,None,None,100%cotton
Isolde,Reuse,4,Blouse,Ladies,50-100,No trend,['Purple'],[],Lace,Unknown,Unknown,5,None,No,None,None,100%polyester
Not Applicable,Reuse,4,Blazer,Ladies,100-150,No trend,['Black'],[],Floral print,Unknown,Unknown,4,None,No,None,None,34%polyester 66%viscose
Carin Wester,Reuse,4,Blouse,Ladies,50-100,No trend,['Black'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%polyester 
Not Applicable,Export,4,Blouse,Ladies,<50,No trend,"['White', 'Green', 'Yellow', 'Pink', 'Orange']",[],Floral print,Unknown,Unknown,5,None,Yes,None,None,100%polyester 
Not Applicable,Reuse,4,Dress,Ladies,100-150,90s,"['Multicolor', 'Red', 'Green', 'Black']",['Collar'],Floral print,All,Unknown,5,0,Yes,None,None,89% poly14% ull
H&m,Export,2,Sweater,Ladies,<50,No trend,"['Multicolor', 'Black', 'Purple']",['Cropped'],Animal print,All,Unknown,1,0,Yes,None,None,100% Acryl
Kappahl,Reuse,3,Sweater,Ladies,50-100,80s,['Red'],['Loose'],Unknown,All,Unknown,2,0,Yes,None,None,100% Acryl
Not Applicable,Export,2,Dress,Ladies,<50,No trend,"['Multicolor', 'Pink', 'Black', 'Purple']",['Collar'],Floral print,All,Unknown,2,0,Yes,None,None,100% poly
Bikbok,Export,4,Top,Ladies,50-100,No trend,"['Multicolor', 'Purple', 'White', 'Grey']",['V-collar'],Floral print,All,Unknown,5,0,No,None,None,100% poly
Rosebud,Export,2,Top,Ladies,50-100,No trend,"['Multicolor', 'White', 'Black']",['V-collar'],Plain,All,Unknown,5,0,No,None,None,100% poly
Not Applicable,Export,4,Shirt,Ladies,50-100,No trend,['Beige'],['Collar'],Unknown,All,Unknown,5,1,No,None,None,100% cotton
Not Applicable,Export,1,Sweater,Ladies,<50,No trend,['Green'],['V-collar'],Unknown,Winter,Unknown,5,6,No,None,None,100% wool
Free Quent,Export,1,Top,Ladies,<50,No trend,['Orange'],['Turtle neck'],Unknown,All,Unknown,1,1,Yes,None,None,100% viscose
Not Applicable,Export,3,Sweater,Ladies,50-100,No trend,['pink'],['Collar'],Unknown,Winter,Unknown,5,0,Yes,None,None,100% wool
H&m,Export,3,T-shirt,Ladies,50-100,No trend,['Green'],['Loose'],Logo print,All,Unknown,5,0,Yes,None,None,100% cotton
Odd Molly,Export,3,Sweater,Ladies,100-150,No trend,['Pink'],['C-collar'],Unknown,All,Unknown,5,0,No,None,None,100% cotton
Not Applicable,Export,3,Blouse,Ladies,50-100,No trend,"['Multicolor', 'Red', 'Pink', 'Green']",['V-collar'],Floral print,All,Unknown,5,2,Yes,None,None,100% poly
H&m,Export,3,T-shirt,Ladies,50-100,No trend,['Black'],['C-collar'],Logo print,All,Unknown,5,0,Yes,None,None,63% cotton 37% viscose
Not Applicable,Export,3,T-shirt,Ladies,50-100,No trend,"['Multicolor', 'Beige', 'Pink', 'Grey']",['V-collar'],Animal print,All,Unknown,5,0,Yes,None,None,79% cotton 22% Acryl
Isolde,Export,4,Top,Ladies,50-100,No trend,"['Multicolor', 'Pink', 'Grey', 'White']",['V-collar'],Striped,All,Unknown,4,0,Yes,None,None,100% cotton
Not Applicable,Export,4,Top,Ladies,50-100,No trend,['Green'],['V-collar'],Unknown,All,Unknown,5,0,Yes,None,None,100% viscose
Not Applicable,Export,2,Blouse,Ladies,50-100,No trend,"['Multicolor', 'White', 'Black']",['V-collar'],Plain,All,Unknown,2,0,No,None,None,100% viscose
Vila,Export,4,T-shirt,Ladies,50-100,No trend,['Pink'],['C-collar'],Unknown,All,Unknown,4,0,No,None,None,100% viscose
Not Applicable,Export,2,T-shirt,Ladies,50-100,No trend,['Grey'],['C-collar'],Logo print,All,Unknown,5,1,No,None,None,100% Polyester
Not Applicable,Export,3,Tank Top,Ladies,50-100,No trend,"['Multicolor', 'White', 'Blue']",['C-collar'],Unknown,All,Unknown,5,0,Yes,None,None,100% cotton
H&m,Export,2,Dress,Ladies,50-100,No trend,"['Multicolor', 'White', 'Grey']",['C-collar'],Striped,All,Unknown,4,0,No,None,None,100% cotton
Not Applicable,Export,2,Tunic,Ladies,<50,No trend,['Green'],['Long'],Unknown,All,Unknown,5,0,Yes,None,None,100% cotton
Not Applicable,Export,3,Tunic,Ladies,<50,No trend,"['Black', 'White']",['Long'],Floral print,All,Unknown,2,0,Yes,None,None,100% viscose
Gina Tricot,Reuse,4,T-shirt,Ladies,<50,No trend,['White'],[],Lace,Unknown,Unknown,4,None,No,None,None,100%polyester
Rosebud,Export,3,Blouse,Ladies,<50,No trend,"['White', 'Black']",[],Dots,Unknown,Unknown,3,None,No,None,None,100%viscose
Masai,Export,2,Blouse,Ladies,<50,No trend,"['White', 'Black', 'Grey', 'Pink']",[],Unknown,Unknown,Unknown,3,None,Yes,None,None,100%viscose
Kappahl,Export,2,Nightgown,Ladies,<50,No trend,['Pink'],[],Unknown,Unknown,Unknown,4,None,Yes,None,None,100%polyester
Not Applicable,Export,3,T-shirt,Ladies,<50,No trend,['White'],[],Logo print,Unknown,Unknown,3,None,No,None,None,100%cotton
H&m,Export,2,T-shirt,Ladies,<50,No trend,['Green'],[],Unknown,Unknown,Unknown,3,None,No,None,None,100%cotton
Not Applicable,Export,2,T-shirt,Ladies,<50,No trend,['Black'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,80%cotton 20%wool
Everest,Reuse,5,T-shirt,Ladies,50-100,No trend,['Green'],[],Logo print,Unknown,Unknown,5,None,No,None,None,100%cotton 
Kappahl,Export,2,Nightgown,Ladies,<50,No trend,['Red'],[],Lace,Unknown,Unknown,4,None,Yes,None,None,100%viscose
Me & I,Reuse,4,T-shirt,Ladies,<50,No trend,"['White', 'Blue']",[],Geometric print,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Export,2,Sweater,Ladies,<50,No trend,['Blue'],[],Logo print,Unknown,Unknown,4,2,Yes,None,None,100%cotton
Vero Moda,Export,2,Cardigan,Ladies,<50,No trend,['Beige'],[],Unknown,Unknown,Unknown,3,2,No,None,None,100%cotton
H&m,Export,4,Jacker,Ladies,100-150,No trend,['Black'],[],Unknown,Unknown,Unknown,5,None,Yes,None,None,34%cotton 66%polyester
Lindex,Reuse,4,Top,Ladies,50-100,No trend,['Blue'],[],Unknown,Unknown,Unknown,4,None,No,None,None,74%cotton 26%polyester
Logg (h&m),Export,1,Cardigan,Ladies,<50,No trend,['Pink'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,85%cotton 15%polyester
Free Quent,Reuse,4,Dress,Ladies,50-100,No trend,"['Grey', 'White', 'Beige']",[],Geometric print,Unknown,Unknown,4,None,No,None,None,100%acryl
H&m,Reuse,4,Tank Top,Ladies,50-100,No trend,"['White', 'Black']",[],Striped,Unknown,Unknown,4,None,No,None,None,96%cotton 4%elastan
H&m,Export,3,Tank Top,Ladies,<50,No trend,"['White', 'Black']",[],Striped,Unknown,Unknown,3,None,No,None,None,100%cotton 
Bikbok,Reuse,5,Tank Top,Ladies,50-100,No trend,['White'],[],Unknown,Unknown,Unknown,5,None,No,None,None,95%cotton 5%elastan
Not Applicable,Export,3,T-shirt,Ladies,<50,No trend,['Blue'],[],Unknown,Unknown,Unknown,5,None,Yes,None,None,80%viscose 20%polyester
Not Applicable,Reuse,4,Sweater,Ladies,100-150,No trend,['Black'],[],Logo print,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Export,2,Sweater,Ladies,<50,No trend,['Blue'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,81%viscose 19%polyester
Not Applicable,Export,1,Cardigan,Ladies,<50,No trend,['White'],[],Logo print,Unknown,Unknown,3,None,Yes,None,None,100%cotton
Soc (stadium),Export,3,Jacker,Ladies,<50,Sports,['White'],[],Unknown,Unknown,Unknown,5,None,Yes,None,None,73%nylon 27%polyester
Holly And Whyte (lindex),Export,3,Sweater,Ladies,<50,No trend,['Red'],[],Unknown,Unknown,Unknown,3,None,No,None,None,73%viscose 27%polyester
Indiska,Reuse,4,Sweater,Ladies,<50,No trend,['Red'],[],Unknown,Unknown,Unknown,4,None,No,None,None,54%acryl 46%cotton
Free Quent,Export,2,Dress,Ladies,<50,No trend,['Black'],[],Unknown,Unknown,Unknown,2,None,Yes,None,None,100%viscose
Not Applicable,Reuse,4,Cardigan,Ladies,50-100,No trend,['Black'],[],Logo print,Unknown,Unknown,4,None,No,None,None,82%cotton 18%polyester
Not Applicable,Export,2,T-shirt,Ladies,<50,No trend,['Black'],[],Unknown,Unknown,Unknown,2,None,No,None,None,100%cotton
Not Applicable,Reuse,4,Sweater,Ladies,50-100,No trend,['Blue'],[],Logo print,Unknown,Unknown,5,None,No,None,None,69%cotton 31%polyester
Not Applicable,Export,2,T-shirt,Ladies,<50,No trend,['Pink'],[],Logo print,Unknown,Unknown,2,None,Yes,None,None,100%cotton
Not Applicable,Reuse,4,Dress,Ladies,50-100,No trend,['Red'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%polyester
Not Applicable,Export,2,Sweater,Ladies,<50,No trend,['Blue'],[],Geometric print,Unknown,Unknown,3,1,No,None,None,100%wool
Not Applicable,Reuse,5,Dress,Ladies,50-100,No trend,['Pink'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%cotton
Not Applicable,Export,3,Sweater,Ladies,<50,No trend,"['Blue', 'Grey']",[],Unknown,Unknown,Unknown,3,2,No,None,None,75%acryl 25%wool
Not Applicable,Reuse,4,Sweater,Ladies,50-100,No trend,['Red'],[],Unknown,Unknown,Unknown,4,None,No,None,None,67%acryl 33%wool
Not Applicable,Reuse,4,T-shirt,Ladies,<50,No trend,['Pink'],[],Lace,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Reuse,5,Dress,Ladies,50-100,No trend,"['Red', 'Black', 'White', 'Beige', 'Grey', 'Brown']",[],Floral print,Unknown,Unknown,5,None,No,None,None,100%polyester
Lager 157,Reuse,5,T-shirt,Ladies,50-100,No trend,"['Black', 'Beige', 'Purple', 'Pink', 'Blue']",[],Floral print,Unknown,Unknown,5,None,No,None,None,100%polyester
Not Applicable,Reuse,4,Shirt,Ladies,<50,No trend,"['Blue', 'White']",[],Striped,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Export,2,Sweater,Ladies,<50,No trend,"['Blue', 'White']",[],Geometric print,Unknown,Unknown,3,None,Yes,None,None,100%cotton
Not Applicable,Reuse,4,Blouse,Ladies,<50,No trend,['Green'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%cotton
Isolde,Export,3,Blouse,Ladies,<50,No trend,['Grey'],[],Glitter,Unknown,Unknown,3,None,No,None,None,35%cotton 65%polyester
Not Applicable,Export,2,Top,Ladies,<50,No trend,['Grey'],[],Floral print,Unknown,Unknown,3,None,Yes,None,None,70%cotton 30%wool
Not Applicable,Export,1,Shirt,Ladies,<50,No trend,['White'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,100%cotton
Isolde,Export,2,Cardigan,Ladies,<50,No trend,['Black'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,76%viscose 24%nylon
Not Applicable,Export,2,Sweater,Ladies,<50,No trend,['Blue'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,100%cotton
Not Applicable,Export,4,T-shirt,Ladies,<50,No trend,['Pink'],[],Unknown,Unknown,Unknown,5,None,Yes,None,None,100%viscose
Not Applicable,Reuse,4,Dress,Ladies,50-100,No trend,['White'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%viscose
Not Applicable,Export,2,Top,Ladies,<50,No trend,['Red'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%silk
Not Applicable,Reuse,4,T-shirt,Ladies,<50,No trend,"['Purple', 'White', 'Green']",[],Floral print,Unknown,Unknown,4,None,No,None,None,100%polyester
Not Applicable,Export,3,Cardigan,Ladies,<50,No trend,"['Purple', 'White']",[],Unknown,Unknown,Unknown,3,None,No,None,None,100%acryl
Not Applicable,Reuse,4,Top,Ladies,<50,No trend,['White'],[],Logo print,Unknown,Unknown,4,None,No,None,None,100%cotton
Jack And Jones,Export,3,Sweater,Ladies,<50,No trend,['Pink'],[],Logo print,Unknown,Unknown,3,None,No,None,None,100%cotton
Not Applicable,Export,1,Cardigan,Ladies,<50,No trend,"['Blue', 'White']",[],Checkered print,Unknown,Unknown,2,None,No,None,None,100%polyester
Not Applicable,Export,2,Cardigan,Ladies,<50,No trend,"['Blue', 'White', 'Green', 'Pink']",[],Floral print,Unknown,Unknown,3,None,Yes,None,None,100%viscose
Not Applicable,Reuse,5,Dress,Ladies,50-100,No trend,"['Blue', 'Yellow', 'Red']",[],Unknown,Unknown,Unknown,5,None,No,None,None,100%viscose
H&m,Reuse,5,Dress,Ladies,50-100,No trend,"['Blue', 'White', 'Brown', 'Black']",[],Floral print,Unknown,Unknown,5,None,No,None,None,100%polyester
Esprit,Reuse,5,Top,Ladies,50-100,No trend,['Green'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%polyester
H&m,Export,3,Shirt,Ladies,<50,No trend,['Grey'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,100%polyester
H&m,Export,3,Shirt,Ladies,<50,No trend,['Blue'],[],Unknown,Unknown,Unknown,2,None,No,None,None,60%cotton 40%polyester
Not Applicable,Reuse,5,Shirt,Ladies,50-100,No trend,['Beige'],[],Animal print,Unknown,Unknown,5,None,No,None,None,100%polyester
H&m,Reuse,4,Shirt,Ladies,<50,No trend,['Brown'],[],Unknown,Unknown,Unknown,4,None,No,None,None,56%acryl 44%cotton
Not Applicable,Reuse,4,Shirt,Ladies,50-100,No trend,['Blue'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%cotton
H&m,Reuse,5,Tank Top,Ladies,50-100,No trend,"['White', 'Black']",[],Unknown,Unknown,Unknown,5,None,No,None,None,100%acryl
H&m,Reuse,4,Top,Ladies,<50,No trend,['Black'],[],Glitter,Unknown,Unknown,4,None,No,None,None,65%polyester 35%nylon
Lindex,Reuse,4,Top,Ladies,<50,No trend,"['Black', 'Beige', 'White', 'Red']",[],Floral print,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Reuse,4,Sweater,Ladies,50-100,No trend,"['Black', 'Brown', 'Blue', 'Green']",[],Floral print,Unknown,Unknown,4,None,No,None,None,60%wool  25%acryl  10%alpaca 5%polyamid
H&m,Reuse,4,Tank Top,Ladies,<50,No trend,"['Black', 'White']",[],Dots,Unknown,Unknown,4,None,No,None,None,100%viscose
Not Applicable,Export,3,Blouse,Ladies,<50,No trend,['White'],[],Lace,Unknown,Unknown,5,None,Yes,None,None,68%polyester 32%cotton
Gina Tricot,Export,2,Top,Ladies,<50,No trend,['White'],[],Lace,Unknown,Unknown,4,None,Yes,None,None,100%cotton
Not Applicable,Reuse,5,Jacker,Ladies,100-150,No trend,['Beige'],[],Logo print,Unknown,Unknown,5,None,No,None,None,100%cotton
Not Applicable,Reuse,5,Top,Ladies,<50,No trend,['Multicolor'],[],Geometric print,Unknown,Unknown,5,None,No,None,None,100%polyester
Lager 157,Reuse,5,T-shirt,Ladies,50-100,No trend,['Multicolor'],[],Floral print,Unknown,Unknown,5,None,No,None,None,100%polyester
Cappuchini,Reuse,5,Shirt,Ladies,100-150,No trend,['Beige'],[],Unknown,Unknown,Unknown,5,None,No,None,None,45%polyester  55%cotton
Isolde,Reuse,4,Shirt,Ladies,<50,No trend,['Pink'],[],Floral print,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Reuse,4,Tank Top,Ladies,<50,No trend,"['Green', 'White', 'Orange']",[],Floral print,Unknown,Unknown,5,None,No,None,None,100%viscose
Banana Republic,Reuse,4,Shirt,Ladies,100-150,No trend,['Grey'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%wool
Fbsisters (new Yorker),Export,2,Tank Top,Ladies,<50,No trend,['Purple'],[],Unknown,Unknown,Unknown,5,None,Yes,None,None,100%polyester
H&m,Reuse,4,Shirt,Ladies,50-100,No trend,['Beige'],[],Unknown,Unknown,Unknown,5,None,No,None,None,63%cotton 37%viscose
Bikbok,Export,3,Tank Top,Ladies,<50,No trend,['Multicolor'],[],Floral print,Unknown,Unknown,3,None,No,None,None,53%cotton 47%polyester
Vila,Export,2,Shirt,Ladies,<50,No trend,['Grey'],[],Unknown,Unknown,Unknown,3,None,No,None,None,73%viscose 27%polyester
Gina Tricot,Reuse,4,Dress,Ladies,50-100,No trend,['Black'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%polyester
Not Applicable,Reuse,5,Tank Top,Ladies,50-100,No trend,['Pink'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%polyester
Not Applicable,Reuse,5,Dress,Ladies,150-250,No trend,['Black'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%polyester
H&m,Export,2,Sweater,Ladies,<50,No trend,"['Orange', 'White']",[],Logo print,Unknown,Unknown,2,None,No,None,None,57%polyester 43%cotton
Not Applicable,Export,2,Cardigan,Ladies,<50,No trend,['Brown'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,70%viscose 30%nylon
Holly And Whyte (lindex),Reuse,4,Shirt,Ladies,<50,No trend,['Blue'],[],Unknown,Unknown,Unknown,4,None,No,None,None,76%viscose 24%polyester
Bikbok,Export,3,Dress,Ladies,<50,No trend,['Black'],[],Lace,Unknown,Unknown,3,None,No,None,None,85%nylon 15%polyester
Not Applicable,Reuse,5,Dress,Ladies,50-100,No trend,['Multicolor'],[],Animal print,Unknown,Unknown,5,None,No,None,None,100%polyester
Not Applicable,Reuse,4,Dress,Ladies,50-100,No trend,['Pink'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%polyester
Not Applicable,Export,2,Shirt,Ladies,<50,No trend,['Pink'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,100%cotton
Amisu (new Yorker),Reuse,4,T-shirt,Ladies,<50,No trend,['Black'],[],Logo print,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Export,2,T-shirt,Ladies,<50,No trend,['White'],[],Floral print,Unknown,Unknown,4,None,Yes,None,None,100%cotton
Not Applicable,Reuse,4,Dress,Ladies,<50,No trend,['Multicolor'],[],Animal print,Unknown,Unknown,4,None,No,None,None,100%polyester
H&m,Export,3,Shirt,Ladies,<50,No trend,['Black'],[],Unknown,Unknown,Unknown,3,None,Yes,None,None,100%viscose
Amisu (new Yorker),Reuse,4,Jacker,Ladies,<50,No trend,['Red'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%polyester
Free Quent,Export,3,Sweater,Ladies,<50,No trend,"['White', 'Blue']",[],Unknown,Unknown,Unknown,5,None,Yes,None,None,100%cotton
Not Applicable,Export,2,Jacker,Ladies,<50,No trend,['Multicolor'],[],Animal print,Unknown,Unknown,3,None,Yes,None,None,81%cotton 19%polyester
Vero Moda,Reuse,4,Shirt,Ladies,<50,No trend,['White'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%acryl
Not Applicable,Reuse,4,T-shirt,Ladies,50-100,No trend,['White'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%cotton
Weekday,Export,3,Sweater,Ladies,<50,No trend,['White'],[],Unknown,Unknown,Unknown,5,None,Yes,None,None,72%cotton 28%polyester
Not Applicable,Reuse,4,Cardigan,Ladies,<50,No trend,['Brown'],[],Glitter,Unknown,Unknown,4,None,No,None,None,79%wool 21%acryl
Miss Milla,Reuse,4,Top,Ladies,<50,No trend,['Pink'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%cotton
Vila,Export,1,T-shirt,Ladies,<50,No trend,['Purple'],['C-collar'],Unknown,All,Unknown,1,1,No,None,None,75% viscose 25% poly
Not Applicable,Export,1,Tank Top,Ladies,<50,No trend,['White'],['C-collar'],Unknown,All,Unknown,3,0,Yes,None,None,100% viscose
Not Applicable,Export,1,T-shirt,Ladies,<50,No trend,['White'],['C-collar'],Unknown,All,Unknown,5,0,Yes,None,None,100% cotton
Mexx,Export,2,Sweater,Ladies,<50,No trend,['Red'],['Turtle neck'],Unknown,All,Unknown,3,0,No,None,None,73% acry 27% wool
Not Applicable,Export,3,Sweater,Ladies,50-100,No trend,"['Multicolor', 'Beige', 'Blue', 'Yellow']",['Oversize'],Unknown,All,Unknown,3,0,No,None,None,82% acry 18% wool 
Not Applicable,Reuse,5,Cardigan,Ladies,50-100,No trend,"['Multicolor', 'Blue', 'Grey']",['Oversize'],Unknown,All,Unknown,5,0,No,None,None,100% cotton
Not Applicable,Export,1,Sweater,Ladies,<50,No trend,"['Blue', 'White', 'Red']",['Regular'],Logo print,All,Unknown,4,0,No,None,None,100% Cotton
Kappahl,Recycle,2,T-shirt,Ladies,<50,No trend,['Pink'],['C-collar'],Unknown,Summer,Unknown,5,Change in color and crooked,No,None,None,100% Viscose
Lindex,Export,2,T-shirt,Ladies,<50,No trend,['White'],['C-collar'],Unknown,Summer,Unknown,5,None,Yes,None,None,100% Cotton
Lindex,Export,2,Top,Ladies,<50,No trend,['Blue'],['C-collar'],Unknown,Summer,Unknown,5,None,Yes,None,None,100% Cotton
Not Applicable,Reuse,3,Blouse,Ladies,50-100,No trend,"['Black', 'White']",['V-collar'],Unknown,Summer,Unknown,5,Sun bleached,No,None,None,"77% Viscose, 23% Polyester"
Not Applicable,Reuse,4,Dress,Ladies,50-100,No trend,['Multicolor'],['C-collar'],Floral print,Summer,Unknown,5,None,No,None,None,100% viscose
H&m,Reuse,5,Dress,Ladies,100-150,No trend,"['Green', 'Yellow', 'Brown', 'Blue']",['V-collar'],Floral print,Summer,Unknown,5,None,No,None,None,100% polyester
Not Applicable,Reuse,4,Dress,Ladies,100-150,No trend,['Pink'],['C-collar'],Unknown,Summer,Unknown,5,None,Yes,None,None,100% polyester
Not Applicable,Reuse,4,Top,Ladies,100-150,No trend,"['Pink', 'Green', 'Black']",['C-collar'],Floral print,Summer,Unknown,5,None,No,None,None,100% viscose
Not Applicable,Export,2,Top,Ladies,<50,No trend,"['Black', 'Brown']",['V-collar'],Animal print,Unknown,Unknown,5,1-3,No,None,None,100% polyester
H&m,Reuse,5,Top,Ladies,100-150,No trend,['Orange'],['Cropped'],Unknown,Summer,Unknown,5,0,No,None,None,100% polyester
Not Applicable,Reuse,5,Dress,Ladies,50-100,No trend,['White'],['V-collar'],Lace,Summer,Unknown,5,0,No,None,None,"100% nylon, 100% polyester"
Not Applicable,Export,3,Dress,Ladies,50-100,No trend,"['Blue', 'Grey', 'White']",['C-collar'],Geometric print,Summer,Unknown,4,0,Yes,None,None,100% viscose
Isolde,Export,2,Top,Ladies,<50,No trend,"['Purple', 'Black']",['Regular'],Floral print,Unknown,Unknown,3,0,No,None,None,100% viscose
Not Applicable,Export,4,Blouse,Ladies,50-100,No trend,['Black'],['None'],Lace,Summer,Unknown,5,0,No,None,None,100% polyester
Not Applicable,Reuse,4,Cardigan,Ladies,50-100,No trend,['Grey'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%cotton
Odd Molly,Reuse,4,Cardigan,Ladies,50-100,No trend,"['White', 'Blue']",[],Geometric print,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Reuse,5,Dress,Ladies,50-100,No trend,['Red'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%polyester
Not Applicable,Reuse,4,Sweater,Ladies,<50,No trend,['Grey'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%cotton
New Look,Reuse,4,Cardigan,Ladies,<50,No trend,['Multicolor'],[],Geometric print,Unknown,Unknown,4,None,No,None,None,100%viscose
Not Applicable,Reuse,4,T-shirt,Ladies,50-100,No trend,"['Multicolor', 'Black', 'White']",['C-collar'],Checkered print,All,Unknown,5,None,No,None,None,100% poly
Weekday,Export,3,T-shirt,Ladies,<50,No trend,['Grey'],['C-collar'],Unknown,All,Unknown,3,None,No,None,None,?
Selected Homme/femme,Reuse,5,Sweater,Ladys,50-100,No trend,['Orange'],['C-collar'],Unknown,Autumn,Unknown,4,None,No,None,None,100% cotton
Gina Tricot,Reuse,4,Dress,Ladies,50-100,No trend,"['Multicolor', 'Yellow', 'Black']",['Loose'],Floral print,Autumn,Unknown,5,None,No,None,None,100% poly
Gina Tricot,Reuse,5,Blouse,Ladies,50-100,No trend,['Blue'],['C-collar'],Unknown,Summer,Unknown,5,None,No,None,None,100% cotton
Odd Molly,Reuse,3,Cardigan,Ladies,<50,No trend,['Turquoise'],['C-collar'],Unknown,All,Unknown,5,None,Yes,None,None,100% cotton
Not Applicable,Reuse,5,Blouse,Ladies,50-100,No trend,['Turquoise'],['Loose'],Unknown,Summer,Unknown,5,None,No,None,None,100% vis
